Energy_Consumption_kWh/km,Speed_kmh,Slope_%,Temperature_C,Road_Type,Humidity_%,Wind_Speed_ms,Weather_Condition,Traffic_Condition
0.266,61.2,8.9,16.9,0,42.6,14.1,0,0
0.209,124.6,1.9,14.0,1,56.7,1.1,0,0
0.178,100.5,-4.1,4.3,2,27.9,2.8,0,0
0.266,85.9,6.7,12.1,2,55.7,9.7,0,1
0.262,37.2,0.4,5.1,2,36.2,6.5,2,1
0.23,37.2,3.9,21.2,2,42.2,7.6,0,1
0.173,26.4,-5.9,30.9,2,58.2,4.4,0,0
0.271,115.3,4.6,28.3,0,90.9,8.5,0,1
0.204,86.1,-0.5,3.7,1,66.3,1.2,1,1
0.153,97.9,-1.3,13.0,1,21.4,2.3,0,0
0.303,22.3,11.6,-14.4,1,31.5,0.2,1,0
0.265,126.7,0.6,32.9,0,25.1,5.5,1,1
0.288,111.6,5.6,-1.5,2,34.9,13.4,1,0
0.259,43.4,4.6,9.3,0,47.5,10.1,2,0
0.198,40.0,-5.9,-6.6,2,34.0,7.1,0,1
0.278,40.2,7.0,22.3,0,56.9,13.7,1,0
0.21,53.5,-1.5,15.0,2,85.9,5.9,1,1
0.276,77.7,8.0,5.1,0,86.0,7.5,0,0
0.223,67.5,4.2,14.4,1,47.2,5.7,0,1
0.251,52.0,-1.7,-5.7,0,46.1,4.8,2,0
0.174,87.3,-0.9,27.7,0,79.7,0.0,0,0
0.293,35.3,6.6,-0.4,2,53.2,12.0,0,1
0.248,52.1,3.0,18.8,1,97.6,1.5,1,2
0.256,60.3,5.4,34.5,0,55.6,2.4,0,1
0.258,70.2,-4.8,-12.9,1,39.5,2.5,3,0
0.312,106.4,7.7,6.3,0,20.8,4.4,0,2
0.306,42.0,-1.6,-7.6,0,96.3,13.0,1,2
0.288,76.6,4.4,35.0,2,29.5,11.3,1,2
0.198,85.2,-5.7,4.8,2,34.0,2.2,1,0
0.251,25.1,-1.6,-3.3,2,23.1,14.1,1,1
0.288,86.8,5.0,22.2,2,57.2,10.8,0,2
0.198,38.8,-2.5,14.9,2,52.7,7.7,0,1
0.274,27.2,9.6,29.9,0,85.3,4.6,0,1
0.279,124.4,5.2,26.4,0,64.4,12.2,1,0
0.338,126.2,9.4,38.6,0,66.6,14.1,0,1
0.225,108.9,-0.1,-10.0,1,83.2,1.2,1,0
0.264,53.5,-7.3,-10.6,1,66.6,14.2,3,0
0.236,30.7,3.5,34.9,1,65.2,14.4,0,1
0.227,95.3,-1.2,37.6,0,94.3,15.0,2,0
0.227,68.4,1.0,7.4,0,55.0,3.7,0,1
0.244,33.4,5.6,10.1,0,70.8,7.2,1,0
0.27,74.5,6.0,5.3,0,50.7,3.3,2,0
0.192,23.8,-7.4,27.8,2,72.1,8.1,2,0
0.271,120.0,7.4,27.4,0,20.8,11.4,0,0
0.235,48.5,1.9,-2.9,2,78.1,9.9,1,0
0.344,92.9,3.1,6.1,0,82.5,6.4,3,2
0.188,54.3,-2.0,-3.3,1,90.2,12.4,0,0
0.277,77.2,0.4,-12.4,0,60.0,10.6,2,1
0.262,80.1,6.2,-11.9,1,42.9,1.3,0,1
0.344,40.3,7.5,-6.9,0,78.4,14.3,1,1
0.286,126.7,-0.3,-13.4,1,95.9,13.3,1,1
0.282,105.3,5.8,8.3,1,81.6,12.8,0,1
0.287,123.3,-2.8,-11.5,0,92.9,8.0,0,1
0.277,118.4,8.6,31.6,1,29.5,6.7,1,1
0.227,85.8,4.2,24.2,0,93.9,8.4,0,0
0.324,121.4,7.5,28.1,2,76.9,14.5,1,2
0.223,29.7,1.5,19.0,1,85.8,11.3,2,0
0.154,41.6,-3.4,21.5,0,53.7,1.1,0,0
0.255,25.0,0.6,-8.8,2,65.6,9.1,0,1
0.215,55.8,-0.4,-11.8,1,69.1,2.2,1,1
0.215,62.8,-1.3,39.4,0,61.5,8.2,2,0
0.194,49.8,-3.8,5.5,0,27.7,7.0,0,0
0.377,111.2,7.2,-12.2,0,38.6,9.7,2,1
0.193,59.2,-6.3,-6.2,0,31.2,3.9,0,1
0.266,50.9,9.8,33.1,0,86.2,3.1,0,0
0.264,79.7,-4.5,-3.7,2,49.8,12.4,2,1
0.314,35.5,11.6,10.7,1,43.0,13.7,1,1
0.302,108.2,11.8,21.7,0,37.5,3.3,0,1
0.193,28.2,-0.0,38.1,2,76.2,4.6,0,0
0.374,128.6,11.8,-14.2,0,61.6,0.1,1,1
0.307,104.9,9.4,11.8,1,67.4,10.0,2,1
0.167,41.9,-6.4,39.8,1,80.5,14.5,0,0
0.331,20.6,10.9,-8.3,1,97.6,6.1,1,1
0.271,109.7,-7.1,-8.2,1,79.3,8.3,1,2
