Energy_Consumption_kWh,Vehicle_ID,Traffic_Condition,Speed_kmh,Slope_%,Temperature_C,Road_Type,Humidity_%,Wind_Speed_ms,Weather_Condition
continuous,continuous,1 2 3,continuous,continuous,continuous,1 2 3,continuous,continuous,1 2 3 4
class,meta,meta,,,,,,,
10.509,1182,3,60.4463,9.96588,-4.99529,1,84.0388,2.87751,1
9.9563,1894,2,102.246,4.72257,-4.97628,1,39.6983,8.57793,2
7.01671,1583,2,44.2963,-1.79368,-4.97625,1,59.3881,0.88495,2
6.7981,1074,3,33.3469,3.32017,-4.95594,1,37.6025,5.4855,2
8.53681,1931,3,57.4234,5.72871,-4.91809,1,44.2035,13.9188,1
8.69924,1188,2,47.1277,-4.32473,-4.90766,1,85.6015,14.705,3
7.07914,1814,2,6.23872,4.24507,-4.88659,1,74.7457,2.50888,3
4.45971,1139,2,39.0502,-3.57534,-4.83588,1,39.2974,1.15707,3
6.20656,1281,3,18.5425,9.44284,-4.7989,1,62.9137,13.247,4
5.92889,1854,1,4.6716,-4.09961,-4.78362,1,83.2146,7.69289,1
10.0827,1848,2,80.3063,-2.79191,-4.77876,1,30.961,9.42224,3
5.81774,1572,2,24.9878,2.31414,-4.76199,1,76.0053,11.9617,1
5.9861,1925,2,9.50995,6.445,-4.75853,1,80.1342,6.71817,4
9.41257,1302,3,39.2154,-0.859348,-4.75366,1,68.6382,13.5358,3
8.21217,1260,2,86.4134,4.08348,-4.6599,1,22.0616,7.61777,1
8.223,1690,1,96.6209,1.94088,-4.63928,1,85.8385,5.10861,2
9.42697,1719,3,104.364,7.70951,-4.59268,1,64.8157,11.3221,2
10.2321,1989,2,103.093,1.30098,-4.59142,1,46.6185,14.2226,4
11.4134,1955,1,88.6255,9.40836,-4.47027,1,67.998,1.93516,3
6.54158,1778,2,59.3516,-0.357844,-4.43559,1,75.7505,3.05701,3
9.1993,1511,3,90.1128,5.18005,-4.4069,1,67.7766,4.95325,1
9.52346,1888,1,85.1267,8.71928,-4.35735,1,70.2395,12.1491,4
11.66,1628,2,98.7312,4.12669,-4.35038,1,74.1806,2.8533,1
6.19631,1116,2,54.9846,-3.99721,-4.33232,1,41.6862,13.6538,4
14.1687,1301,2,117.029,6.4155,-4.28079,1,59.9699,11.7845,3
9.77573,1235,2,70.6023,0.835457,-4.23772,1,26.6445,10.4356,2
9.14327,1998,2,69.4956,6.87794,-4.23643,1,85.0883,4.81452,4
7.62894,1182,2,59.7079,-4.83999,-4.21288,1,50.2097,9.99122,4
9.11001,1752,1,84.3933,8.89676,-4.18914,1,27.6468,0.727245,4
6.43887,1904,3,1.94921,8.57437,-4.18371,1,53.4251,2.04509,2
9.65067,1146,3,109.132,8.39663,-4.17617,1,76.7324,11.3396,1
10.1781,1935,2,116.021,-1.60818,-4.15897,1,62.6952,9.65312,1
6.00099,1215,3,20.1378,7.71631,-4.13715,1,65.9271,4.71509,2
6.81988,1452,3,42.4877,4.86922,-4.127,1,83.7224,8.99306,3
12.359,1596,1,115.528,0.124207,-4.12671,1,73.4794,4.72189,4
10.3799,1777,2,77.788,6.1508,-4.1014,1,58.7333,9.33368,1
5.72936,1778,2,15.4505,-2.34506,-4.08141,1,27.9231,8.71532,4
6.34698,1946,2,32.4773,-1.13745,-4.07141,1,65.9495,7.90707,2
8.14729,1112,3,94.5059,-1.43014,-4.00371,1,27.9935,4.77611,2
9.84318,1806,3,45.9671,8.87935,-4.00207,1,32.2373,13.975,2
9.62939,1511,2,76.5226,7.00363,-3.98782,1,65.3944,6.44358,3
9.76861,1498,3,56.3013,5.36379,-3.9807,1,54.2185,2.58496,3
7.29971,1228,2,40.8494,-2.92053,-3.97848,1,51.1834,5.24273,2
5.07954,1106,2,1.26159,2.91687,-3.94064,1,58.6691,3.22835,3
7.63693,1732,3,90.4171,9.91062,-3.88768,1,23.9202,5.54586,1
11.2061,1187,1,113.677,8.71436,-3.83522,1,24.923,10.3741,2
